,idVotant,Contre,Pour
53,PA330240,44.274809160305345,55.72519083969466
54,PA330788,49.54128440366973,50.45871559633027
55,PA330909,36.22950819672131,63.77049180327868
56,PA331567,49.87012987012987,50.12987012987013
57,PA331582,32.91592128801431,67.08407871198568
58,PA331835,56.69291338582677,43.30708661417323
59,PA332228,36.68224299065421,63.3177570093458
60,PA332523,38.97849462365591,61.02150537634409
61,PA332614,23.09027777777778,76.90972222222221
62,PA332747,3.986981285598047,63.54759967453214
63,PA333285,25.72178477690289,74.2782152230971
64,PA333421,26.545454545454543,73.45454545454545
65,PA333818,35.338345864661655,64.66165413533834
66,PA334116,44.221105527638194,55.778894472361806
67,PA334768,43.75,56.25
68,PA335054,40.802675585284284,59.19732441471572
69,PA335612,31.70731707317073,68.29268292682927
70,PA335999,27.77777777777778,72.22222222222221
71,PA336175,29.61165048543689,70.3883495145631
72,PA336316,43.829787234042556,56.17021276595745
73,PA336439,37.01298701298701,62.98701298701299
74,PA337483,27.32919254658385,72.67080745341616
75,PA340343,28.661087866108787,71.33891213389121
76,PA340357,33.12236286919831,66.87763713080169
77,PA342196,31.343283582089555,68.65671641791045
78,PA342240,47.61904761904761,52.38095238095239
79,PA342415,28.421052631578945,71.57894736842105
80,PA342601,34.25196850393701,65.74803149606299
81,PA342935,43.689320388349515,56.310679611650485
82,PA343493,50.0,50.0
83,PA345722,33.75,66.25
84,PA346054,31.63265306122449,68.36734693877551
85,PA346876,29.22077922077922,70.77922077922078
86,PA405480,27.485380116959064,72.51461988304094
87,PA421348,27.00729927007299,72.99270072992701
88,PA508,29.09090909090909,70.9090909090909
89,PA588884,36.43835616438356,63.561643835616444
90,PA604,21.052631578947366,78.94736842105263
91,PA605036,36.217948717948715,63.78205128205128
92,PA605069,28.550295857988168,71.44970414201184
93,PA605084,46.231155778894475,53.768844221105525
94,PA605131,73.52941176470588,25.735294117647058
95,PA605518,34.73684210526316,65.26315789473685
96,PA605694,31.292517006802722,68.70748299319727
97,PA605963,63.847429519071305,36.152570480928695
98,PA605991,18.417462482946796,81.58253751705321
99,PA606098,33.798882681564244,66.20111731843575
100,PA606171,5.034642032332563,70.16166281755196
101,PA606202,59.883720930232556,40.116279069767444
102,PA606507,62.33062330623306,37.669376693766935
103,PA606639,33.56164383561644,66.43835616438356
104,PA607090,34.33962264150943,65.66037735849056
105,PA607155,63.04347826086957,36.95652173913043
106,PA607193,58.19209039548022,41.80790960451977
107,PA607395,60.36036036036037,39.189189189189186
108,PA607553,26.621160409556317,73.37883959044369
109,PA607595,59.810874704491724,40.189125295508276
110,PA607619,32.57142857142858,67.42857142857143
111,PA608016,39.30857874519846,60.69142125480154
112,PA608172,25.66168009205984,74.33831990794016
113,PA608292,24.177396280400572,75.82260371959943
114,PA608416,45.02074688796681,54.9792531120332
115,PA608641,48.51063829787234,51.48936170212765
116,PA608695,31.381733021077284,68.61826697892272
117,PA608741,24.773413897280967,75.22658610271903
118,PA608826,39.49579831932773,60.50420168067227
119,PA609332,30.721003134796238,69.27899686520375
120,PA609590,22.884012539184955,77.11598746081505
121,PA609726,33.6734693877551,66.3265306122449
122,PA610654,45.14285714285714,54.85714285714286
123,PA610667,27.0,73.0
124,PA610775,22.321428571428573,77.67857142857143
125,PA642695,69.94285714285714,30.057142857142853
126,PA642724,45.65217391304348,54.347826086956516
127,PA642764,30.061349693251532,69.93865030674846
128,PA642847,35.924369747899156,64.07563025210085
129,PA642868,50.06337135614702,49.93662864385298
130,PA642935,38.48797250859107,61.512027491408936
131,PA643004,18.181818181818183,81.81818181818183
132,PA643089,47.2972972972973,52.702702702702695
133,PA643103,34.24657534246575,65.75342465753424
134,PA643127,74.79508196721312,25.204918032786882
135,PA643134,30.952380952380953,69.04761904761905
136,PA643145,35.18518518518518,64.81481481481481
137,PA643157,36.206896551724135,63.793103448275865
138,PA643175,64.75225225225225,35.24774774774775
139,PA643192,41.935483870967744,58.06451612903226
140,PA643205,62.47334754797441,37.52665245202559
141,PA672,76.3261296660118,23.673870333988212
142,PA677483,68.70860927152319,31.29139072847682
143,PA689,53.61702127659574,46.38297872340426
144,PA695100,28.57142857142857,71.42857142857143
145,PA702052,24.085365853658537,75.91463414634147
146,PA702054,50.42492917847026,49.57507082152974
147,PA709315,33.4051724137931,66.59482758620689
148,PA712014,46.02076124567474,53.979238754325266
