;idVotant;Genre;Nom;Prénom;date_naissance;wikilink;age;Identité;CSP
188;PA721726;Mme;Mauborgne;Sereine;;Sereine_Mauborgne;48;Mauborgne Sereine;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
189;PA721784;Mme;Gomez-Bassac;Valérie;;Valérie_Gomez-Bassac;51;Gomez-Bassac Valérie;Cadres de la fonction publique, professions intellectuelles et artistiques
190;PA721946;M.;Marilossian;Jacques;;Jacques_Marilossian;62;Marilossian Jacques;Cadres d'entreprise
191;PA722008;Mme;Leguille-Balloy;Martine;;Martine_Leguille-Balloy;63;Leguille-Balloy Martine;Professions libérales et assimilés
192;PA722244;Mme;Magne;Marie-Ange;;Marie-Ange_Magne;33;Magne Marie-Ange;Cadres de la fonction publique, professions intellectuelles et artistiques
193;PA724827;Mme;Ali;Ramlati;;Ramlati_Ali;59;Ali Ramlati;Cadres de la fonction publique, professions intellectuelles et artistiques
194;PA332523;Mme;Dalloz;Marie-Christine;1958-01-10;Marie-Christine_Dalloz;63;Dalloz Marie-Christine;Sans profession déclarée
195;PA721410;Mme;Bonnivard;Émilie;;Émilie_Bonnivard;40;Bonnivard Émilie;Cadres d'entreprise
196;PA608416;M.;Hetzel;Patrick;1964-07-02;Patrick_Hetzel;56;Hetzel Patrick;Cadres de la fonction publique, professions intellectuelles et artistiques
197;PA721286;M.;Ramadier;Alain;;Alain_Ramadier;62;Ramadier Alain;Cadres d'entreprise
198;PA721734;M.;Michel-Kleisbauer;Philippe;;Philippe_Michel-Kleisbauer;51;Michel-Kleisbauer Philippe;Professions libérales et assimilés
199;PA719640;Mme;Mette;Sophie;;Sophie_Mette;61;Mette Sophie;Sans profession déclarée
200;PA720720;Mme;Poueyto;Josy;;Josy_Poueyto;67;Poueyto Josy;Anciens cadres et professions intermédiaires
201;PA721234;Mme;Petit;Maud;;Maud_Petit;49;Petit Maud;Contremaîtres, agents de maîtrise
202;PA721836;M.;Barrot;Jean-Noël;;Jean-Noël_Barrot;37;Barrot Jean-Noël;Cadres de la fonction publique, professions intellectuelles et artistiques
203;PA721976;M.;Millienne;Bruno;;Bruno_Millienne;61;Millienne Bruno;Cadres d'entreprise
204;PA333421;M.;Pancher;Bertrand;1958-06-05;Bertrand_Pancher;62;Pancher Bertrand;Cadres d'entreprise
205;PA721062;M.;Ratenon;Jean-Hugues;;Jean-Hugues_Ratenon;53;Ratenon Jean-Hugues;Employés de commerce
206;PA722142;M.;Ruffin;François;;François_Ruffin;45;Ruffin François;Cadres de la fonction publique, professions intellectuelles et artistiques
207;PA720692;M.;Roussel;Fabien;;Fabien_Roussel;51;Roussel Fabien;Employés de la fonction publique
208;PA721296;M.;Gouffier-Cha;Guillaume;;Guillaume_Gouffier-Cha;35;Gouffier-Cha Guillaume;Cadres de la fonction publique, professions intellectuelles et artistiques
209;PA718810;Mme;Robert;Mireille;;Mireille_Robert;58;Robert Mireille;Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés
210;PA677483;M.;Mazars;Stéphane;1969-03-25;Stéphane_Mazars;51;Mazars Stéphane;Professions libérales et assimilés
211;PA719202;M.;Paris;Didier;;Didier_Paris;67;Paris Didier;Cadres d'entreprise
212;PA719294;Mme;Clapot;Mireille;;Mireille_Clapot;57;Clapot Mireille;Cadres de la fonction publique, professions intellectuelles et artistiques
213;PA719866;Mme;Abadie;Caroline;;Caroline_Abadie;44;Abadie Caroline;Cadres d'entreprise
214;PA720124;Mme;Amadou;Aude;;Aude_Amadou;40;Amadou Aude;Anciens cadres et professions intermédiaires
215;PA720454;M.;Houbron;Dimitri;;Dimitri_Houbron;30;Houbron Dimitri;Employés de la fonction publique
216;PA720806;Mme;Gayte;Laurence;;Laurence_Gayte;55;Gayte Laurence;Cadres d'entreprise
