,idVotant,Genre,Nom,Prénom,date_naissance,wikilink,age
125,PA718850,M.,Cordier,Pierre,,Pierre_Cordier_(homme_politique),48
126,PA266776,M.,Reiss,Frédéric,1949-11-12,Frédéric_Reiss,71
127,PA605036,M.,Abad,Damien,1980-04-05,Damien_Abad,40
128,PA330008,M.,Breton,Xavier,1962-11-25,Xavier_Breton,58
129,PA267450,M.,Delatte,Rémi,1956-06-09,Rémi_Delatte,64
130,PA605991,Mme,Genevard,Annie,1956-09-07,Annie_Genevard,64
131,PA719272,Mme,Meunier,Frédérique,,Frédérique_Meunier,60
132,PA720386,M.,Di Filippo,Fabien,,Fabien_Di Filippo,34
133,PA642847,M.,Bazin,Thibault,,Thibault_Bazin,36
134,PA721678,M.,Reda,Robin,,Robin_Reda,29
135,PA720746,M.,Waserman,Sylvain,,Sylvain_Waserman,53
136,PA720334,M.,Pahun,Jimmy,,Jimmy_Pahun,58
137,PA720728,M.,Mattei,Jean-Paul,,Jean-Paul_Mattei,66
138,PA721924,Mme,de Vaucouleurs,Michèle,,Michèle_de Vaucouleurs,57
139,PA719918,M.,Lainé,Fabien,,Fabien_Lainé,44
140,PA340343,M.,Saulignac,Hervé,,Hervé_Saulignac,50
141,PA605069,M.,Bricout,Jean-Louis,1957-12-27,Jean-Louis_Bricout,63
142,PA332614,M.,Juanico,Régis,1972-02-05,Régis_Juanico,49
143,PA608172,Mme,Pires Beaune,Christine,1964-10-06,Christine_Pires Beaune,56
144,PA609590,Mme,Rabault,Valérie,1973-04-25,Valérie_Rabault,47
145,PA2952,M.,Warsmann,Jean-Luc,1965-10-22,Jean-Luc_Warsmann,55
146,PA720230,Mme,Magnier,Lise,,Lise_Magnier,36
147,PA721632,Mme,Lemoine,Patricia,,Patricia_Lemoine,59
148,PA942,M.,de Courson,Charles,1952-04-02,Charles_de Courson,68
149,PA405480,M.,Pupponi,François,1962-07-31,François_Pupponi,58
150,PA607619,M.,Molac,Paul,1962-05-21,Paul_Molac,58
151,PA719138,M.,Castellani,Michel,,Michel_Castellani_(homme_politique),75
152,PA718720,M.,Dufrègne,Jean-Paul,,Jean-Paul_Dufrègne,62
153,PA332747,M.,de Rugy,François,1973-12-06,François_de Rugy,47
154,PA722398,M.,Rebeyrotte,Rémy,,Rémy_Rebeyrotte,54
155,PA719118,M.,Cormier-Bouligeon,François,,François_Cormier-Bouligeon,48
156,PA719668,Mme,Mirallès,Patricia,,Patricia_Mirallès,53
157,PA605963,M.,Alauzet,Éric,1958-06-07,Éric_Alauzet,62
158,PA718674,Mme,Givernet,Olga,,Olga_Givernet,39
159,PA718694,M.,Delatte,Marc,,Marc_Delatte,59
160,PA718736,Mme,Peyrol,Bénédicte,,Bénédicte_Peyrol,29
161,PA718930,Mme,Petel,Anne-Laurence,,Anne-Laurence_Petel,51
162,PA718962,M.,Zulesi,Jean-Marc,,Jean-Marc_Zulesi,32
163,PA719006,M.,Le Vigoureux,Fabrice,,Fabrice_Le Vigoureux,51
