,idVotant,Contre,Pour,indice_accord,taux_abstention,Région_x,age,Genre,CSP,Groupe politique (complet)
123980,PA721542,73.19,26.81,794.2,57.19602977667494,Occitanie,55,Mme,Cadres d'entreprise,La République en Marche
124670,PA721560,56.92,41.54,630.77,95.96774193548387,Ile-de-France,43,M.,Cadres d'entreprise,La République en Marche
124735,PA721568,59.32,40.68,745.76,85.35980148883375,Ile-de-France,32,M.,Cadres d'entreprise,La République en Marche
124971,PA721576,30.0,70.0,300.0,99.37965260545906,Ile-de-France,63,Mme,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",Les Républicains
124981,PA721584,71.45,28.55,763.64,65.88089330024813,Occitanie,43,M.,Professions libÃ©rales et assimilÃ©s,La République en Marche
125531,PA721600,65.1,34.9,728.53,77.60545905707195,Ile-de-France,36,Mme,Cadres d'entreprise,La République en Marche
125892,PA721608,55.17,44.83,689.66,89.20595533498759,Ile-de-France,74,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Mouvement Démocrate (MoDem) et Démocrates apparentés
126066,PA721616,67.38,32.62,765.46,70.90570719602978,Ile-de-France,36,M.,Professions libÃ©rales et assimilÃ©s,La République en Marche
126535,PA721624,69.07,30.93,754.67,76.73697270471465,Ile-de-France,35,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
126910,PA721632,48.0,52.0,553.33,90.69478908188586,Ile-de-France,59,Mme,Cadres d'entreprise,Agir ensemble
127060,PA721636,43.75,56.25,416.67,94.04466501240695,Ile-de-France,61,M.,Sans profession dÃ©clarÃ©e,Les Républicains
127156,PA721644,61.62,38.38,715.87,83.18858560794044,Ile-de-France,46,M.,Cadres d'entreprise,La République en Marche
127427,PA721656,57.63,42.37,734.46,89.01985111662532,Provence-Alpes-Côte d'Azur,33,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
127604,PA721666,100.0,0.0,333.33,99.81389578163771,Provence-Alpes-Côte d'Azur,72,Mme,Anciens employÃ©s et ouvriers,Les Républicains
127607,PA721674,66.41,33.59,587.79,91.87344913151365,Ile-de-France,45,Mme,CommerÃ§ants et assimilÃ©s,La République en Marche
127738,PA721678,37.93,62.07,385.06,89.20595533498759,Ile-de-France,29,M.,Sans profession dÃ©clarÃ©e,Les Républicains
127912,PA721690,59.73,40.27,718.12,90.75682382133995,Ile-de-France,53,M.,CommerÃ§ants et assimilÃ©s,La République en Marche
128061,PA721702,71.68,28.32,726.82,75.24813895781638,Ile-de-France,63,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
128460,PA721710,68.05,31.95,747.09,62.71712158808933,Ile-de-France,59,Mme,Cadres d'entreprise,La République en Marche
129061,PA721718,62.89,37.11,731.96,87.9652605459057,Ile-de-France,41,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
129255,PA721726,64.29,35.71,714.29,75.68238213399503,Provence-Alpes-Côte d'Azur,48,Mme,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",La République en Marche
129647,PA721734,63.61,36.39,704.14,79.03225806451613,Provence-Alpes-Côte d'Azur,51,M.,Professions libÃ©rales et assimilÃ©s,Mouvement Démocrate (MoDem) et Démocrates apparentés
129985,PA721742,66.48,33.52,733.33,66.50124069478909,Ile-de-France,53,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",Mouvement Démocrate (MoDem) et Démocrates apparentés
130525,PA721750,69.94,30.06,739.04,70.28535980148884,Ile-de-France,41,Mme,CommerÃ§ants et assimilÃ©s,La République en Marche
131004,PA721768,100.0,0.0,666.67,99.62779156327544,Ile-de-France,42,Mme,Cadres d'entreprise,La République en Marche
131010,PA721776,62.12,37.88,734.85,83.62282878411911,Ile-de-France,50,M.,Cadres d'entreprise,La République en Marche
131274,PA721784,64.73,35.27,741.82,82.94044665012407,Provence-Alpes-Côte d'Azur,51,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
131549,PA721792,67.01,32.99,751.7,81.76178660049628,Provence-Alpes-Côte d'Azur,37,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
131843,PA721800,47.27,52.73,690.91,93.17617866004963,Provence-Alpes-Côte d'Azur,36,M.,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",La République en Marche
131953,PA721808,69.8,30.2,757.83,78.2258064516129,Bourgogne-Franche-Comté,53,Mme,Cadres d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés
132304,PA721816,39.71,60.29,430.62,87.0347394540943,Bourgogne-Franche-Comté,32,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Les Républicains
132513,PA721824,23.29,20.0,313.92,75.49627791563276,Ile-de-France,42,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
132908,PA721832,45.0,55.0,525.0,97.51861042183623,Ile-de-France,59,Mme,Inactifs divers (autres que retraitÃ©s),Les Républicains
132948,PA721836,61.83,38.17,729.01,83.74689826302729,Ile-de-France,37,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Mouvement Démocrate (MoDem) et Démocrates apparentés
133210,PA721844,67.27,32.73,767.68,69.29280397022333,Ile-de-France,55,Mme,Chefs d'entreprise de 10 salariÃ©s ou plus,La République en Marche
133705,PA721852,71.31,28.69,771.31,70.16129032258065,Ile-de-France,30,Mme,Cadres d'entreprise,La République en Marche
134186,PA721864,48.15,51.85,481.48,98.32506203473945,Provence-Alpes-Côte d'Azur,46,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
134213,PA721872,81.82,13.64,727.27,98.63523573200993,Provence-Alpes-Côte d'Azur,38,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
134235,PA721880,71.63,28.37,774.1,77.48138957816377,Ile-de-France,44,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
134598,PA721888,64.75,35.25,762.3,77.2952853598015,Ile-de-France,37,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,La République en Marche
134964,PA721896,36.18,63.82,256.58,81.14143920595534,Ile-de-France,39,Mme,EmployÃ©s administratifs d'entreprise,Gauche démocrate et républicaine
135268,PA721908,69.44,30.56,772.22,77.66749379652606,Ile-de-France,50,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
