idVotant,Nom,Prénom,date_naissance,wikilink,age
PA331567,de La Raudière,Laure,1965-02-12,Laure_de La Raudière,55
PA642868,Christophe,Paul,,Paul_Christophe,49
PA267780,Firmin Le Bodo,Agnès,,Agnès_Firmin-Le_Bodo,52
PA719806,Auconie,Sophie,,Sophie_Auconie,57
PA1838,Lassalle,Jean,1955-05-03,Jean_Lassalle,65
PA721194,Dumas,Frédérique,,Frédérique_Dumas,57
PA722268,Wonner,Martine,,Martine_Wonner,56
PA719608,Ménard,Emmanuelle,,Emmanuelle_Ménard,52
PA721852,Lebec,Marie,,Marie_Lebec,30
PA719024,Blanchet,Christophe,,Christophe_Blanchet,47
PA719080,Marsaud,Sandra,,Sandra_Marsaud,47
PA719170,Charvier,Fannette,,Fannette_Charvier,36
PA719372,Kasbarian,Guillaume,,Guillaume_Kasbarian,33
PA719420,Sommer,Denis,,Denis_Sommer,63
PA719684,Dubost,Coralie,,Coralie_Dubost,37
PA719850,Motin,Cendra,,Cendra_Motin,45
PA720298,Cariou,Émilie,,Émilie_Cariou,49
PA720830,Thomas,Valérie,,Valérie_Thomas,53
PA721134,Lescure,Roland,,Roland_Lescure,54
PA721344,Bonnell,Bruno,,Bruno_Bonnell,62
PA721542,Verdier-Jouclas,Marie-Christine,,Marie-Christine_Verdier-Jouclas,55
PA722382,Dirx,Benjamin,,Benjamin_Dirx,42
PA1327,Forissier,Nicolas,,Nicolas_Forissier,59
PA608016,Louwagie,Véronique,1961-03-20,Véronique_Louwagie,59
PA718978,Laqhila,Mohamed,,Mohamed_Laqhila,61
PA720652,Duvergé,Bruno,,Bruno_Duvergé,63
PA607553,Potier,Dominique,1964-03-17,Dominique_Potier,56
PA719930,Vallaud,Boris,,Boris_Vallaud,45
PA720422,Quatennens,Adrien,,Adrien_Quatennens,30
PA720846,Lachaud,Bastien,,Bastien_Lachaud,40
PA720892,Panot,Mathilde,,Mathilde_Panot,32
PA721202,Coquerel,Éric,,Éric_Coquerel,62
PA721210,Corbière,Alexis,,Alexis_Corbière,52
PA718926,Dharréville,Pierre,,Pierre_Dharréville,45
PA721270,Peu,Stéphane,,Stéphane_Peu,58
PA331582,Vigier,Philippe,1958-02-03,Philippe_Vigier,62
PA643127,Questel,Bruno,,Bruno_Questel,54
PA720790,Grau,Romain,,Romain_Grau,46
PA607595,Pellois,Hervé,1951-04-17,Hervé_Pellois,69
PA720492,Osson,Catherine,,Catherine_Osson,46
PA718954,Ahamada,Saïd,,Saïd_Ahamada,48
PA719186,Khattabi,Fadila,,Fadila_Khattabi,58
PA719242,Moreau,Jean-Baptiste,,Jean-Baptiste_Moreau,
PA719472,Cazeneuve,Jean-René,,Jean-René_Cazeneuve,62
PA719540,Toutut-Picard,Élisabeth,,Élisabeth_Toutut-Picard,66
PA719616,Euzet,Christophe,,Christophe_Euzet,53
PA719710,David,Dominique,,Dominique_David,
PA719740,Colas-Roy,Jean-Charles,,Jean-Charles_Colas-Roy,42
PA719756,Cloarec-Le Nabour,Christine,,Christine_Cloarec-Le Nabour,56
PA719798,Labaronne,Daniel,,Daniel_Labaronne,65
PA719890,Brulebois,Danielle,,Danielle_Brulebois,73
PA719922,Causse,Lionel,,Lionel_Causse,49
PA719994,Kamowski,Catherine,,Catherine_Kamowski,62
PA643175,Dupont,Stella,,Stella_Dupont,47
PA720222,Girardin,Éric,,Éric_Girardin,58
PA720362,Belhaddad,Belkhir,,Belkhir_Belhaddad,51
PA720446,Liso,Brigitte,,Brigitte_Liso,61
PA720500,Petit,Valérie,,Valérie_Petit,44
PA720520,Cattelot,Anne-Laure,,Anne-Laure_Cattelot,32
PA720622,Bureau-Bonnard,Carole,,Carole_Bureau-Bonnard,55
PA720738,Michels,Thierry,,Thierry_Michels,
PA720862,Descrozaille,Frédéric,,Frédéric_Descrozaille,53
PA720878,Saint-Martin,Laurent,,Laurent_Saint-Martin,35
PA720900,Rilhac,Cécile,,Cécile_Rilhac,46
PA720908,Moutchou,Naïma,,Naïma_Moutchou,40
PA721150,Holroyd,Alexandre,,Alexandre_Holroyd,33
